roll_no,study_hours,attendance,previous_marks,assignment_scores,pass_fail
STU1556,7.0,91.2,79.6,75.2,1
STU4492,3.2,63.4,51.1,52.1,0
STU1528,7.6,91.6,88.1,84.7,1
STU4926,2.6,62.6,40.3,46.0,0
STU3990,2.7,68.4,48.6,47.5,0
STU1071,7.9,93.8,86.6,89.0,1
STU2757,7.3,88.6,86.6,78.3,1
STU1212,8.9,91.6,77.7,85.9,1
STU1197,6.4,90.6,90.8,75.0,1
STU1804,6.9,82.0,76.3,96.7,1
STU4410,4.7,74.2,48.7,58.1,0
STU4837,4.3,61.8,52.2,50.6,0
STU2147,6.2,83.8,81.0,89.1,1
STU2499,8.7,86.9,64.4,65.6,1
STU4859,3.8,58.9,45.9,65.2,0
STU4483,1.7,59.0,56.5,40.0,0
STU2186,8.6,96.0,66.4,89.8,1
STU1472,4.7,100.0,92.3,82.8,1
STU1595,8.7,93.1,81.9,72.1,1
STU1322,8.2,92.7,81.1,84.9,1
STU2418,7.8,89.2,66.2,78.6,1
STU2675,9.4,87.6,71.4,79.1,1
STU4591,4.2,66.5,37.6,43.3,0
STU2704,8.8,83.0,77.2,92.0,1
STU3541,2.8,50.8,38.1,52.6,0
STU1206,6.4,90.8,77.0,96.1,1
STU4888,2.8,59.2,39.7,49.4,0
STU4249,4.7,71.9,55.4,48.6,0
STU3132,3.8,53.7,47.5,55.8,0
STU2256,6.0,88.9,72.9,97.7,1
STU3300,4.3,65.6,50.2,69.3,0
STU2227,7.6,82.9,78.6,84.6,1
STU4919,3.0,66.6,51.2,45.3,0
STU3465,4.3,59.9,47.1,64.6,0
STU3384,4.6,62.8,42.1,54.3,0
STU1150,7.9,78.1,83.9,86.8,1
STU1870,9.9,95.4,77.8,75.7,1
STU2979,6.6,91.4,83.9,85.6,1
STU3457,4.3,57.7,52.0,53.8,0
STU4866,3.2,53.0,57.1,44.8,0
STU3213,2.3,67.4,35.0,59.3,0
STU2007,8.6,90.9,90.4,96.3,1
STU4048,3.1,57.3,48.5,51.6,0
STU1706,8.2,94.3,81.0,76.9,1
STU4144,2.8,72.8,45.1,52.5,0
STU4597,2.1,50.0,46.3,53.2,0
STU2988,8.1,84.7,82.3,82.5,1
STU1180,10.0,88.0,79.3,91.1,1
STU1110,7.4,91.6,83.9,79.9,1
STU4079,2.0,52.6,53.2,40.0,0
STU2056,6.7,82.9,73.0,72.9,1
STU4953,2.2,58.8,59.2,43.2,0
STU1315,9.1,92.0,78.7,92.7,1
STU2823,7.2,87.7,73.1,81.5,1
STU1568,6.3,91.9,72.2,83.6,1
STU1880,8.9,86.9,89.7,73.6,1
STU3231,3.2,69.6,47.5,54.4,0
STU2412,8.2,85.6,77.8,85.7,1
STU4225,1.6,68.9,53.4,52.5,0
STU4937,3.5,68.3,36.7,40.0,0
STU4250,1.4,59.9,35.0,44.2,0
STU1930,7.4,93.9,80.9,77.5,1
STU3579,1.0,65.1,35.0,55.4,0
STU4380,3.4,62.5,49.5,41.0,0
STU3293,4.1,55.0,54.0,43.2,0
STU2503,6.5,88.3,83.3,90.3,1
STU4783,2.0,50.0,42.5,46.8,0
STU1606,9.8,86.9,80.0,73.1,1
STU2989,6.7,99.5,85.5,87.3,1
STU1015,5.4,93.0,81.4,88.4,1
STU2262,7.6,88.3,75.8,85.1,1
STU4239,2.3,63.3,50.6,45.6,0
STU4319,2.7,61.4,43.9,46.5,0
STU1009,6.9,92.0,78.1,93.0,1
STU1890,8.8,90.3,87.1,84.3,1
STU4149,2.6,51.8,40.4,62.1,0
STU4552,3.3,61.3,46.4,52.5,0
STU2445,8.0,92.2,88.0,72.5,1
STU1394,9.7,84.1,77.7,80.3,1
STU2583,6.3,99.5,95.1,84.8,1
STU3859,1.4,70.0,45.1,43.1,0
STU1539,8.7,80.5,80.2,81.4,1
STU2488,5.4,92.0,85.4,88.2,1
STU1808,6.9,83.0,87.2,89.9,1
STU4415,1.9,62.3,44.0,43.6,0
STU1799,7.5,85.8,65.6,83.0,1
STU4540,2.9,73.0,42.1,52.9,0
STU2816,6.4,77.2,87.5,86.1,1
STU3330,3.1,70.5,44.4,44.3,0
STU3648,3.0,64.7,41.3,42.6,0
STU2425,6.2,77.3,80.6,72.4,1
STU3360,2.5,63.0,46.2,42.6,0
STU4322,2.8,67.5,38.4,52.8,0
STU1788,8.1,80.2,76.8,77.1,1
STU2993,8.9,76.1,74.0,96.5,1
STU2117,10.0,86.8,95.4,97.3,1
STU2321,7.6,89.2,83.8,89.4,1
STU4657,3.9,73.7,61.4,40.0,0
STU2553,6.4,90.1,80.6,74.3,1
STU1033,7.5,90.9,72.8,88.5,1
STU1464,7.8,80.6,91.3,89.2,1
STU3516,3.5,69.7,44.5,53.2,0
STU3296,4.3,59.8,55.2,53.4,0
STU1167,8.5,83.1,79.6,93.0,1
STU3863,2.7,61.9,49.3,47.4,0
STU1415,7.9,94.1,83.6,87.6,1
STU1034,6.2,91.0,59.3,78.8,1
STU1185,7.2,74.7,78.2,84.6,1
STU4023,2.1,68.1,43.6,60.5,0
STU4241,4.1,60.3,35.0,53.3,0
STU4302,4.1,62.3,45.5,58.7,0
STU2953,6.4,100.0,76.3,83.1,1
STU4750,4.5,50.0,49.8,45.5,0
STU2622,5.8,90.1,67.8,81.5,1
STU2243,6.8,78.0,88.0,79.0,1
STU4550,1.0,54.4,51.1,48.2,0
STU1722,5.4,85.0,86.1,92.6,1
STU2175,6.6,82.0,86.4,94.6,1
STU1671,9.0,83.8,87.2,86.7,1
STU4332,2.9,64.7,39.0,43.5,0
STU2747,8.7,74.9,78.9,94.9,1
STU3425,3.9,54.4,42.4,46.6,0
STU2557,8.6,91.8,82.6,94.2,1
STU3867,3.5,63.4,47.6,58.2,0
STU4537,2.3,74.5,37.9,59.0,0
STU3585,2.9,55.3,39.4,42.1,0
STU2745,6.4,82.0,67.8,87.7,1
STU4868,3.3,50.0,47.3,50.7,0
STU1719,7.1,84.4,87.8,97.2,1
STU2371,7.3,87.5,72.1,86.5,1
STU3980,3.0,65.1,38.0,54.3,0
